Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PHNXV01.54EC,large car,7,30,37,33,6,No,269
ACURA Integra,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PHNXV01.54EC,large car,7,30,37,33,6,No,269
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PHNXV01.55DC,large car,6,26,36,30,6,No,293
ACURA Integra A-Spec,1.5,4,Man-6,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PHNXV01.55DC,large car,6,26,36,30,6,No,293
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,PHNXV01.54EC,large car,7,29,36,32,6,No,277
ACURA Integra A-Spec,1.5,4,SCV-7,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,PHNXV01.54EC,large car,7,29,36,32,6,No,277
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PHNXT03.5CCC,small SUV,5,19,26,22,5,No,411
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
ACURA MDX,3.5,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PHNXT03.5CCC,small SUV,5,19,25,21,4,No,423
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,PHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
ACURA MDX Type-S,3,6,SemiAuto-10,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,PHNXT03.0HTC,standard SUV,5,17,21,19,4,No,474
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,2WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PHNXT02.08VC,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,PHNXT02.08VC,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,PHNXT02.09VC,small SUV,6,22,27,24,5,No,375
